title,summary,url,published,sentiment_score,sentiment_label,source_api,text_for_sentiment,relevance_score,full_text_fetched,relevance
"HKEX Says, Trading In Continental Aerospace Technologies (232) Halted - TradingView","# HKEX Says, Trading In Continental Aerospace Technologies (232) Halted — TradingView News. *   /HKEX Says, Trading In Continental Aerospace Technologies (232) Halted. Dow Jones Newswires Sign in to read exclusive news. * Image 8 * Image 9 Reuters Refinitiv Vietnam dong, gold rates - May 28. * Image 12 Dow Jones Newswires Sign in to read exclusive news. * Image 16 * Image 17 * Image 18 CNBC TV18 Sign in to read exclusive news. * Image 20 * Image 21 * Image 22 Dec 22, 2025 Reuters Mergers and acquisitionsDec 22, 2025 Reuters KALENDER-Termine Politik/Vermischtes bis 28. Dezember* Image 23 Dec 22, 2025 Reuters Australia's FlexiRoam surge on Generali dealDec 22, 2025 Reuters Malaysia's ex-PM Najib to face two key court rulings in 1MDB sagaDec 21, 2025 Reuters Austrian painter Arnulf Rainer dies at 96. Select reference data provided by FactSet. Copyright © 2026 FactSet Research Systems Inc.Copyright © 2026, American Bankers Association.","https://www.tradingview.com/news/reuters.com,2026:newsml_FWN42416N:0-hkex-says-trading-in-continental-aerospace-technologies-232-halted/",,,,Tavily,"# HKEX Says, Trading In Continental Aerospace Technologies (232) Halted — TradingView News. *   /HKEX Says, Trading In Continental Aerospace Technologies (232) Halted. Dow Jones Newswires Sign in to read exclusive news. * Image 8 * Image 9 Reuters Refinitiv Vietnam dong, gold rates - May 28. * Image 12 Dow Jones Newswires Sign in to read exclusive news. * Image 16 * Image 17 * Image 18 CNBC TV18 Sign in to read exclusive news. * Image 20 * Image 21 * Image 22 Dec 22, 2025 Reuters Mergers and acquisitionsDec",0.425,,0.032344334
"Halliburton May Be Down, But It's Certainly Not Out","Halliburton is rated a Buy due to improved execution, international momentum, and a more resilient business mix. Read more on HAL stock here.",https://finnhub.io/api/news?id=bde96733c62d1621ab738a1bfb7fa4c3f5b733ed403464bae988d2a8ae5d6c7b,2026-05-29T21:56:13,,,Finnhub,"Best Stocks Now Premium gives you access to Bill Gunderson, professional money manager & analyst with 25 years of experience.

You get Bill's daily ""live"" buys and sells in his four portfolios: Emerging Growth, Ultra-Growth, Premier Growth, Dividend & Growth, and Best Bond Now. These portfolios have done very well since their 1/1/2019 inception.

JOIN NOW to get daily ""live"" buys and sells, weekly in-depth market-timing newsletter, access to Bill's proprietary database with daily rankings on almost 6,000 se",0.425,True,
Halliburton Co. stock underperforms Wednesday when compared to competitors,"Halliburton Co.'s stock (HAL) fell by 3.60% to $39.60 on Wednesday, despite an overall positive trading session for the broader market. This marks the fifth consecutive day of losses for Halliburton, which underperformed compared to competitors and major indices like the S&P 500 and Dow Jones Industrial Average.",https://www.marketwatch.com/data-news/halliburton-co-stock-underperforms-wednesday-when-compared-to-competitors-d4af8ba7-b0a17bc94456?mod=mw_quote_news,20260527T165500,-0.412226,Bearish,AlphaVantage,"Halliburton Co.'s stock (HAL) fell by 3.60% to $39.60 on Wednesday, despite an overall positive trading session for the broader market. This marks the fifth consecutive day of losses for Halliburton, which underperformed compared to competitors and major indices like the S&P 500 and Dow Jones Industrial Average.",0.425,,
"HAL out, Tata and L&T in: IAF pushes ahead with private firms to fulfil India’s AMCA fifth-generation jet dream","India's ambitious Advanced Medium Combat Aircraft (AMCA) program has advanced with the Defence Ministry inviting bids from private firms for its development.  Three consortia, including Tata Advanced Systems and Larsen & Toubro, are vying to build the stealth…",https://economictimes.indiatimes.com/news/defence/hal-out-tata-and-lt-in-iaf-pushes-ahead-with-private-firms-to-fulfil-indias-amca-fifth-generation-jet-dream/articleshow/131363938.cms,2026-05-28T05:55:31Z,,,NewsAPI,"India's ambitious Advanced Medium Combat Aircraft (AMCA) program has advanced with the Defence Ministry inviting bids from private firms for its development.  Three consortia, including Tata Advanced Systems and Larsen & Toubro, are vying to build the stealth…",0.425,,
"LIC, HAL, among 10 stocks that saw sharpest decrease in government shareholding in Q4. Check list - The Economic Times","LIC, HAL, among 10 stocks that saw sharpest decrease in government shareholding in Q4. Check list  The Economic Times",https://news.google.com/rss/articles/CBMilwJBVV95cUxQMlZMdVM0RWV6MkhMc0UyVTJseXFZTXBPbGF4b3lBRTFoc1l0WV9sRXdPTUh4Z3NIaGtTTUc4MzJGUXhGdEJsYXRrR3F3OVcyaDVkRno2cC1CeUg1RGtEalNHTVQ1SVlvZGsxT2d1T3RyX3J0ZGpQUFROV1RDQXNiM3dMWXczTVdLdU9sSEVSSUM4bHhLWUppdFNKb3A1QnBNNm83MVp4eTBaendUeEdjbTBXbzk2ZVEtb0VtOEM5dGM2dEdFVWdNRjNZZFR3WS1JVzdiNnBOQTYtSDRtNVBfTjFJY1lTY2xQbGNPUjJwZzRnTmVSalg3VFVMZU50UlNua2tEczNlRTNIcGxmd1pvY18tXzZQcEk?oc=5&hl=en-IN&gl=IN&ceid=IN:en,"Sat, 30 May 2026 04:56:23 GMT",,,GNews,"LIC, HAL, among 10 stocks that saw sharpest decrease in government shareholding in Q4. Check list  The Economic Times",0.425,,
Ravi K. takes over as HAL CMD from D. K. Sunil - The Hindu,Ravi K. takes over as HAL CMD from D. K. Sunil  The Hindu,https://news.google.com/rss/articles/CBMipwFBVV95cUxOamZwQlNac1VHR1VISjJBS2ZDN3R5MDM4YXRLanpnVUJaaWJ5NEFVZF8zMXFvdWhFbUpTajh3Q3d3NnZKS0hFWER1cUswV2p4bXhHU3AyR3dpemU2WTRrVG40R3hkbUJ4TnVWam9NQ0lOVGFsX1VGWEFzdHpNRTNOTURpLWtmRHFhREY5ejlBbUZXQjZFbE13U2ZQa1lTLTRnRXJ6dXZZSdIBrgFBVV95cUxOMlJYMG5UaWdBWFVka2xCOVE2NHBrX2h4N2lBM1ppTlZyLVpqQU9TVi1yUE5OX0wyekFXajVuUjM1Sm05X0p1WXNlRFczUjU2LWZyV2x6U1h5RURyREtXeTUxazhwNGItWE9fc3BJU01ud0J4TDdLX2JvbHRISm0tS0VzX1BtZlpvSmVtZWUya3hRand2Zkk1YUpqcGFkMUtCcVlGQ0llSXJQbmtlV0E?oc=5&hl=en-IN&gl=IN&ceid=IN:en,"Fri, 01 May 2026 07:00:00 GMT",,,GNews,Ravi K. takes over as HAL CMD from D. K. Sunil  The Hindu,0.425,,
Hosur emerges as aerospace hub with Rolls-Royce-HAL expansion - The New Indian Express,Hosur emerges as aerospace hub with Rolls-Royce-HAL expansion  The New Indian Express,https://news.google.com/rss/articles/CBMixAFBVV95cUxPdVF3M19abmdteGRjMlRUOHpwUlhjOEpVR1NoUENhaVYyWWFVZGV1d0hsd3JXa2pwZzZ5S2VnX3BrLTBCemZaYmRFTGc4RGlPZXFKQncyWGZOZzlaWGQ2aVc2cUxIdlVHc3dxaFdWdGdZSV9KNnU2aF94emo3d0s2NzhkcWZHUmk0b2xCUG1IYTRoemZhdHRRS0V6eTVLQk9HTzR4Qm9Oa0hkb2pIME5jNDk1a2JCRFNZRWM0MTBseThXT01Z0gHSAUFVX3lxTE1tNk5wVlFvQ3V3MjRNdHlVSWZZUmc5QTQ1enkyaksxbFRlSEJPdmlNZ3RBWlJMZjRMUWh3OFhzRDNjYVg0WEE2V095Zk5hTm5yUU5pYjVQV3d2Y1lkRlJWamFOYzdiQUt0QjdXUnNvMDBXcmdmZV9YZ09jWW9TallRSGNTOWI4LV91bnJtQ3EzYjZiUjN2TlU3QWR5dzR2YUZIZTNaYXFraFdjN1BudThyUXlGQ0VvRF9qaktKSVZHUWZFZW1CRTZzSHVHVXZDbzVFQQ?oc=5&hl=en-IN&gl=IN&ceid=IN:en,"Wed, 13 May 2026 07:00:00 GMT",,,GNews,Hosur emerges as aerospace hub with Rolls-Royce-HAL expansion  The New Indian Express,0.425,,
HAL eyes Rs 1 lakh crore fighter jet project at Puttaparthi - Manufacturing Today India,HAL eyes Rs 1 lakh crore fighter jet project at Puttaparthi  Manufacturing Today India,https://news.google.com/rss/articles/CBMioAFBVV95cUxOX0FpNTlZMVdaWDhJNXRiZzV5M2l5eWJIVlROcF9EMXdfc0M3MlJUM3dtblhoS0xVYk5MbjItclZBMlI3cGc4TVVrSi1IYkVhZmxmVXpUaHc3cmhyMVlDY0dpTkZTYnZNRFpQT0dfSWZCbEY4NjZxOXhRZC0wX1FubEZ4UzExdU5aZGR0QnRjRE8ydjhDVFpJWnlfMy1xNk1s?oc=5&hl=en-IN&gl=IN&ceid=IN:en,"Mon, 04 May 2026 07:00:00 GMT",,,GNews,HAL eyes Rs 1 lakh crore fighter jet project at Puttaparthi  Manufacturing Today India,0.425,,
Halliburton ESOP Shelf Filing Raises Questions On Valuation And Dilution,"Halliburton (NYSE: HAL) has filed a multibillion-dollar shelf registration. The filing covers nearly 50 million common shares tied to a transaction related to an employee stock ownership plan (ESOP). This filing sets up the company to potentially issue or sell shares over time, subject to market conditions and corporate decisions. Halliburton is a large oilfield services company that provides equipment and services supporting global oil and gas production. For investors, the size of this...",https://finance.yahoo.com/markets/stocks/articles/halliburton-esop-shelf-filing-raises-070854747.html?.tsrc=rss,"Sun, 24 May 2026 07:08:54 +0000",,,Yahoo RSS,"Halliburton (NYSE: HAL) has filed a multibillion-dollar shelf registration. The filing covers nearly 50 million common shares tied to a transaction related to an employee stock ownership plan (ESOP). This filing sets up the company to potentially issue or sell shares over time, subject to market conditions and corporate decisions. Halliburton is a large oilfield services company that provides equipment and services supporting global oil and gas production. For investors, the size of this...",0.425,,
"Halliburton May Be Down, But It’s Certainly Not Out (NYSE:HAL)","Halliburton is rated a Buy due to improved execution, international momentum, and a more resilient business mix. Read more on HAL stock here.",https://seekingalpha.com/article/4910153-halliburton-may-be-down-but-its-certainly-not-out,2026-05-29T20:26:13.000000Z,,,Marketaux,"Best Stocks Now Premium gives you access to Bill Gunderson, professional money manager & analyst with 25 years of experience.

You get Bill's daily ""live"" buys and sells in his four portfolios: Emerging Growth, Ultra-Growth, Premier Growth, Dividend & Growth, and Best Bond Now. These portfolios have done very well since their 1/1/2019 inception.

JOIN NOW to get daily ""live"" buys and sells, weekly in-depth market-timing newsletter, access to Bill's proprietary database with daily rankings on almost 6,000 se",0.425,True,
Halliburton Announces Dividend,"HOUSTON, May 21, 2026--Halliburton Company (NYSE: HAL) announced today that its board of directors has declared a 2026 second quarter dividend of seventeen cents ($0.17) a share on the Company’s common stock payable on June 24, 2026, to shareholders of record at the close of business on June 3, 2026.",https://finance.yahoo.com/sectors/energy/articles/halliburton-announces-dividend-214500536.html?.tsrc=rss,"Thu, 21 May 2026 21:45:00 +0000",,,Yahoo RSS,"HOUSTON, May 21, 2026--Halliburton Company (NYSE: HAL) announced today that its board of directors has declared a 2026 second quarter dividend of seventeen cents ($0.17) a share on the Company’s common stock payable on June 24, 2026, to shareholders of record at the close of business on June 3, 2026.",0.425,,
Halliburton announces the Xaminer logging service to optimize reservoirs,"Halliburton has launched its new Xaminer logging service, designed to optimize reservoir management, especially in geologically complex formations. This tool integrates high-resolution pressure measurements and multizone analysis, allowing operators to acquire critical data on well productivity and asset delineation early in the well life cycle. The service aims to reduce technical uncertainty and improve development and completion plans by providing greater subsurface clarity through an expanded radius of investigation and enabling real-time decision-making.",https://inspenet.com/en/news/halliburton-launches-the-xaminer-logging-service-to-optimize-complex-reservoirs/,20260528T083739,0.426629,Bullish,AlphaVantage,"Halliburton has launched its new Xaminer logging service, designed to optimize reservoir management, especially in geologically complex formations. This tool integrates high-resolution pressure measurements and multizone analysis, allowing operators to acquire critical data on well productivity and asset delineation early in the well life cycle. The service aims to reduce technical uncertainty and improve development and completion plans by providing greater subsurface clarity through an expanded radius of ",0.425,,
Fisher Asset Management LLC Decreases Holdings in Halliburton Company $HAL,"Fisher Asset Management LLC significantly reduced its stake in Halliburton Company (NYSE:HAL) by 12.3% in the fourth quarter, selling 53,364 shares and holding 379,513 shares valued at $10.7 million. Despite this reduction and recent stock pressure due to softer crude prices, analyst sentiment remains largely positive with a ""Moderate Buy"" rating and an average price target of $42.86. The article also details other institutional investor activities, recent analyst reports, and insider transactions for Halliburton.",https://www.marketbeat.com/instant-alerts/filing-fisher-asset-management-llc-decreases-holdings-in-halliburton-company-hal-2026-05-28/,20260528T075554,-0.053978,Neutral,AlphaVantage,"Fisher Asset Management LLC significantly reduced its stake in Halliburton Company (NYSE:HAL) by 12.3% in the fourth quarter, selling 53,364 shares and holding 379,513 shares valued at $10.7 million. Despite this reduction and recent stock pressure due to softer crude prices, analyst sentiment remains largely positive with a ""Moderate Buy"" rating and an average price target of $42.86. The article also details other institutional investor activities, recent analyst reports, and insider transactions for Halli",0.425,,
Why Halliburton (HAL) Stock Is Falling Today,"Shares of Halliburton (HAL) fell 3.8% after WTI crude oil prices dropped significantly due to progress on an Iran-US peace deal and renewed hopes for the reopening of the Strait of Hormuz. Oilfield services companies like Halliburton are directly impacted by falling oil prices as producers reduce capital expenditure budgets, leading to cuts in drilling and related services. This market reaction, while significant, is considered by analysts to be a short-term response to the news rather than a fundamental change in the company's long-term business perception.",https://stockstory.org/us/stocks/nyse/hal/news/why-up-down/why-halliburton-hal-stock-is-falling-today,20260527T195939,0.014916,Neutral,AlphaVantage,"Shares of Halliburton (HAL) fell 3.8% after WTI crude oil prices dropped significantly due to progress on an Iran-US peace deal and renewed hopes for the reopening of the Strait of Hormuz. Oilfield services companies like Halliburton are directly impacted by falling oil prices as producers reduce capital expenditure budgets, leading to cuts in drilling and related services. This market reaction, while significant, is considered by analysts to be a short-term response to the news rather than a fundamental ch",0.425,,
Halliburton in sync with peers' monthly downtrend: Why is HAL price dropping?,"The article states that Halliburton (HAL) is experiencing a monthly downtrend in its stock price, aligning with its peers. It attributes this decline to analysts revising their opinions on the stock downward.",https://www.msn.com/en-us/money/topstocks/halliburton-in-sync-with-peers-monthly-downtrend-why-is-hal-price-dropping/ar-AA24nLpf?ocid=finance-verthp-feeds,20260529T195142,-0.411756,Bearish,AlphaVantage,"The article states that Halliburton (HAL) is experiencing a monthly downtrend in its stock price, aligning with its peers. It attributes this decline to analysts revising their opinions on the stock downward.",0.425,,
Ravi K. appointed as HAL CEO - AeroMorning.com,Ravi K. appointed as HAL CEO  AeroMorning.com,https://news.google.com/rss/articles/CBMiaEFVX3lxTE12Z3B2THRoRENXUUpJZm82WXJtc2prYXphaWM2cmJWcThDRUVNUUU4RWVwZkFQWDByYlNzR1AzNHF5MWpKa2Q4eVlYU0tXN00wXzJwa1BvdzVuejlMUzNBMGVHekdlb25Q?oc=5&hl=en-IN&gl=IN&ceid=IN:en,"Tue, 05 May 2026 08:30:27 GMT",,,GNews,Ravi K. appointed as HAL CEO  AeroMorning.com,0.425,,
HAL’s new CMD takes charge - The Times of India,HAL’s new CMD takes charge  The Times of India,https://news.google.com/rss/articles/CBMipAFBVV95cUxPNkJaWG9qdm1ocXEzNE4xdmtWVU5OYm56ZGc0TWJGbEhlSkhMeldldmUwWG9PbzlxaTFOdHNleEZtOThTRW9OcndEWlFwZGtWa0ZkektRVlY2MllYS1g5U1N6UGhFeFczOTFHNmZxWjNIRHgwcWttSDdER3RGSGFHS3ZSZHk4ck1ObVI1SHBQWDI5WnZndmVuLW03RE93N202TWpoV9IBqgFBVV95cUxOb0x4Rmtrd3ViQ25Wa0tIRUEzRkhkOWNjdFRoZ3I5Qm9PamgtOXVIbkVlS2hxR3dOLTlXVkgxay1xXzRyeFpwbGNEaEFNLV8yeGlwWFVUNkJZcFhJVUxQUEhYQUlrX2V2ejJSZk4xcWZGdHhnc2dNOTBRM1hJZmdGUk9GWHp4enBTZVpldlppUWI2T1M3N3lWM1FDVjJQZU5QR2VrVnlrRW8wQQ?oc=5&hl=en-IN&gl=IN&ceid=IN:en,"Fri, 01 May 2026 07:00:00 GMT",,,GNews,HAL’s new CMD takes charge  The Times of India,0.425,,
HAL Chairman & Managing Director D K Sunil steps down - The Economic Times,HAL Chairman & Managing Director D K Sunil steps down  The Economic Times,https://news.google.com/rss/articles/CBMi3AFBVV95cUxQb3E3SUJHUDR3YW9PYTJTUVpMLUdWMF9DM2tIQ0ZsRlA0Y0t0NnBOSUZRYUxYSnNWaExzUlNZZENqa0Q4cm9NNEhDZ0lDa2t0SlBKVFdtZHhnLUlCbHdycTN3ZWQ0OERoTTVhUWE4UktGSGdHNkd6cmEtTFZObzgyRzlBbXlNaHhxM3dsVDJ1ODVCc2c3OVZFOFhhX0RWR0EyVG5aNEt2WU1NYzAtQXlWWUFlQjdBb3FldWhNdnpOSHI3bzBrcldMZGY3ZUxpbXRUVTM0UnNRUDVvVHJw0gHiAUFVX3lxTE14N1JUelFpU1BITmZvaHJPeV9SbTc0VU1VdFpjY3B0WEhZaWVrc0FXLTRYbmhmdkJNSVBuSk9Vd1p3b1FRbGxDNEg3Y2ZJWXlhNUJ3VTRXUjc4V2szeUFuWEdtNzVSallQVTJMNjFrcHNmY1lYRVctTV9JdTJxeDVhZVRHWlZ2NGdiZ1JOTDdVcTZ2M3RDV3F6VzVpZFl3aU1IQVBaNHZ1MnhhVG1yME5lMTZmZFdkNVN4dlBSWHM1eTRJNS00UEpJeWNqV0dlaUVtU2l4TWM0RUhQbTF0RzlSOEE?oc=5&hl=en-IN&gl=IN&ceid=IN:en,"Fri, 01 May 2026 07:00:00 GMT",,,GNews,HAL Chairman & Managing Director D K Sunil steps down  The Economic Times,0.425,,
Hindustan Aeronautics Ltd is Rated Hold - Markets Mojo,Hindustan Aeronautics Ltd is Rated Hold  Markets Mojo,https://news.google.com/rss/articles/CBMiowFBVV95cUxOQVVhcm9RbDdmaUExQi16TEFWbU5tazFiUWlKUkk3aG54S2RjRDNDWWVTNHZJNm1iSFBCelo5N0pBMUc5ekVHTEhrQldTNXFTV2QwUEZ6TWJrVW5ZSWZSdldVWFVNbklDVTV4ZmJWNm85VXBZUGhkb3AzckotSTdURjdpWEJRMkZ3QmVudTZaRGpFYTFYaEJlUWtEQkV4YUY0SU0w?oc=5&hl=en-IN&gl=IN&ceid=IN:en,"Mon, 25 May 2026 14:03:42 GMT",,,GNews,Hindustan Aeronautics Ltd is Rated Hold  Markets Mojo,0.25,,
